Shortcut              Command                                                       Description                                                  
Ctrl+Shift+3          User tool 3                                                   Run user tool 3
Ctrl+Shift+4          User tool 4                                                   Run user tool 4
Ctrl+Shift+5          User tool 5                                                   Run user tool 5
Ctrl+Shift+6          User tool 6                                                   Run user tool 6
Ctrl+Shift+7          User tool 7                                                   Run user tool 7
Ctrl+Shift+8          User tool 8                                                   Run user tool 8
Ctrl+Shift+9          User tool 9                                                   Run user tool 9
Ctrl+Shift+A          Insert Character "ä" or "Ä"                                   Insert Character "ä" or "Ä"
Ctrl+Shift+C          Copy & append                                                 Copy the selection and append it to the clipboard
Ctrl+Shift+DOWN ARROW Next message                                                  Next message
Ctrl+Shift+F          Find in files                                                 Find text in files
Ctrl+Shift+F4         Close all files                                               Close all open files
Ctrl+Shift+F6         Previous window                                               Switch to the previous accessed file tab
Ctrl+Shift+I          Quick find                                                    Activate quick find window
Ctrl+Shift+O          Insert character "ö" or "Ö"                                   Insert character "ö" or "Ö"
Ctrl+Shift+P          Command palette                                               Command palette
Ctrl+Shift+Q          Quick record                                                  Immediately begin macro recording
Ctrl+Shift+R          Replace in files                                              Replace text in files
Ctrl+Shift+S          Insert character "ß"                                          Insert character "ß"
Ctrl+Shift+T          Save active file locally and upload to linked server location Save active file locally and upload to linked server location
Ctrl+Shift+U          Insert character "ü" or "Ü"                                   Insert character "ü" or "Ü"
Ctrl+Shift+Û          Hide/show selection                                           Hide or show selected text
Ctrl+Shift+UP ARROW   Previous message                                              Previous message
Ctrl+Shift+V          Paste & copy                                                  Swap selected text with clipboard text
Ctrl+Shift+X          Cut & append                                                  Cut and add selected text to clipboard
Ctrl+Shift+Z          Scripts                                                       Open Scripts dialog
Ctrl+SPACE            Auto-complete                                                 Show auto-complete list
Ctrl+T                Reformat paragraph                                            Reformat paragraph to column wrap
Ctrl+U                File view                                                     Toggle file view
Ctrl+Ü                Trim leading spaces                                           Trim leading spaces in selection or file
Ctrl+UP ARROW         Scroll display up one line                                    Scroll display up one line
Ctrl+V                Paste                                                         Paste clipboard contents
Ctrl+W                Toggle word-wrap                                              Toggle word wrap
Ctrl+X                Cut                                                           Cut selected text to clipboard
Ctrl+Y                Redo                                                          Redo the last undone action
Ctrl+Z                Undo                                                          Undo the last action
F10                   Run Windows program                                           Run a Windows program
F11                   Find symbol                                                   Find symbol in Ctags file
F12                   Save as                                                       Save active file as...
F2                    Next bookmark                                                 Go to the next bookmark in the file
F3                    Find next                                                     Find next occurrence of string
F4                    Switch focus between file view and active edit window         Switch focus between file view and active edit window
F5                    Capitalize                                                    Capitalize first letter of each word
F6                    Focus next pane                                               Switch to next window pane
F7                    Date/time                                                     Insert date and time at current position
F8                    Function list                                                 Refresh function list
F9                    DOS command                                                   Run DOS command and capture output to edit window
Shift+DEL             Cut                                                           Cut selected text to clipboard
Shift+F1              Enable help pointer                                           Display help for clicked on buttons, menus and windows
Shift+F2              Select to next bookmark                                       Move to next bookmark and select
Shift+F3              Find next                                                     Find next occurrence of string
Shift+F5              Invert case                                                   Invert case of selected string
Shift+F6              Focus previous pane                                           Switch to previous window pane
Shift+INS             Paste                                                         Paste clipboard contents
---------------------+-------------------------------------------------------------+-------------------------------------------------------------
